Symbol	Description
AMCKOR	Amcor Limited
AMCKOS	Amcor Limited
AMD	Arrow Minerals Ltd
AME	Austmet Resources Ltd
AMG	Alcaston Mining NL
AMH	AMCIL Ltd
AMI	Aurelia Metals Limited
AML	AMRAD Corporation Ltd
AMN	Agrimin Limited
AMO	Ambertech Ltd
AMP	AMP Ltd
AMPBOC	Amp Limited
AMPBOI	Amp Limited
AMPKOA	Amp Limited
AMPKOB	Amp Limited
AMPKOE	Amp Limited
AMPKOF	Amp Limited
AMPKOP	Amp Limited
AMPKOS	Amp Limited
AMPKOT	Amp Limited
AMPKOV	Amp Limited
AMPLOA	Amp Limited
AMPLOC	Amp Limited
AMPLOQ	Amp Limited
AMPLOR	Amp Limited
AMPLOU	Amp Limited
AMPLOV	Amp Limited
AMPPA	Amp Limited
AMPPB	Amp Limited
AMS	Allied Mining & Processing Nl
AMT	Advanced Surgical Design & Manufacture Ltd
AMX	Ampella Mining Ltd
ANA	Ansila Energy Nl
ANG	Austin Engineering Ltd
ANL	Anaconda Nickel Nl
ANN	Ansell Ltd
ANNKOB	Ansell Limited
ANNKOP	Ansell Limited
ANNKOR	Ansell Limited
ANO	Advanced Nanotechnology Ltd
ANP	Antisense Therapeutics Ltd
ANQ	Anaeco Ltd
ANR	Anatara Lifesciences Ltd
ANS	Austsino Resources Group Limited
ANW	Ausnico Limited
ANZ	Australia & NZ Banking Group Ltd
ANZBOD	Australia And New Zealand Banking Group Limited
ANZBOF	Australia And New Zealand Banking Group Limited
ANZBOJ	Australia And New Zealand Banking Group Limited
ANZBOK	Australia And New Zealand Banking Group Limited
ANZBOZ	Australia And New Zealand Banking Group Limited
ANZKOA	Australia And New Zealand Banking Group Limited
ANZKOB	Australia And New Zealand Banking Group Limited
ANZKOC	Australia And New Zealand Banking Group Limited
ANZKOF	Australia And New Zealand Banking Group Limited
ANZKOG	Australia And New Zealand Banking Group Limited
ANZKOH	Australia And New Zealand Banking Group Limited
ANZKOI	Australia And New Zealand Banking Group Limited
ANZKOK	Australia And New Zealand Banking Group Limited
ANZKOM	Australia And New Zealand Banking Group Limited
ANZKON	Australia And New Zealand Banking Group Limited
ANZKOQ	Australia And New Zealand Banking Group Limited
ANZKOS	Australia And New Zealand Banking Group Limited
ANZKOT	Australia And New Zealand Banking Group Limited
ANZKOV	Australia And New Zealand Banking Group Limited
ANZKOX	Australia And New Zealand Banking Group Limited
ANZKOY	Australia And New Zealand Banking Group Limited
ANZLOA	Australia And New Zealand Banking Group Limited
ANZLOB	Australia And New Zealand Banking Group Limited
ANZLOC	Australia And New Zealand Banking Group Limited
ANZLOF	Australia And New Zealand Banking Group Limited
ANZLOG	Australia And New Zealand Banking Group Limited
ANZLOP	Australia And New Zealand Banking Group Limited
ANZLOQ	Australia And New Zealand Banking Group Limited
ANZLOR	Australia And New Zealand Banking Group Limited
ANZLOS	Australia And New Zealand Banking Group Limited
ANZMOS	Australia And New Zealand Banking Group Limited
ANZMOT	Australia And New Zealand Banking Group Limited
ANZPD	Australia And New Zealand Banking Group Limited
ANZPE	Australia And New Zealand Banking Group Limited
ANZPF	Australia And New Zealand Banking Group Limited
ANZPG	Australia And New Zealand Banking Group Limited
ANZPH	Australia And New Zealand Banking Group Limited
AO1	Assetowl Limited
AOA	
AOF	AMP Office Trust
AON	Apollo Minerals Ltd
AOP	Apollo Life Sciences Ltd
AOU	Auroch Minerals Nl
AOW	American Patriot Oil & Gas Limited
APA	Australian Pipeline Trust
APAKOB	Apa Group
APAKOQ	Apa Group
APAKOR	Apa Group
APC	Australian Potash Limited
APCOB	Australian Potash Limited
APD	APN Property Group Ltd
APE	AP Eagers Holdings Ltd
APG	Austpac Gold Resources NL
APH	Ascent Pharmahealth Ltd
API	Australian Pharmaceutical Ind Ltd
APL	Australian Plantation Timber Ltd
APT	Afterpay Touch Group Limited
APTKOA	Afterpay Touch Group Limited
APTKOC	Afterpay Touch Group Limited
APTKOE	Afterpay Touch Group Limited
APTKOF	Afterpay Touch Group Limited
APTKOH	Afterpay Touch Group Limited
APTKOK	Afterpay Touch Group Limited
APTKOQ	Afterpay Touch Group Limited
APTKOU	Afterpay Touch Group Limited
APTKOV	Afterpay Touch Group Limited
APV	Access Providers Ltd
APW	Aims Property Securities Fund
APX	Appen Limited
APXKOA	Appen Limited
APXKOG	Appen Limited
APXKOH	Appen Limited
APXKOJ	Appen Limited
APZ	Aspen Group
AQC	Australian Pacific Coal Limited
AQD	AusQuest Ltd
AQDOC	Ausquest Limited
AQG	Alacer Gold Corp
AQI	Alicanto Minerals Limited
AQR	Aussie Q Resources Ltd
AQS	Aquis Entertainment Limited
AQX	Alice Queen Limited
AQZ	Alliance Aviation Services Limited
AR9	Archtis Limited
ARA	Ariadne Australia Ltd
ARB	Arb Corporation Limited.
ARBKOA	Arb Corporation Limited.
ARBKOB	Arb Corporation Limited.
ARC	Amalg Resources Nl
ARCO	Australian Rural Capital Limited
ARD	Argent Minerials Lts
ARDOA	Argent Minerals Limited
ARDOB	Argent Minerals Limited
ARE	Argonaut Resources NL
ARF	Arena Reit
ARG	Argo Investments Ltd
ARL	Austrim
ARM	Aurora Minerals Ltd
ARN	Arnotts Ltd t/over Campbell Soup Co
ARO	Astro Diamond Mines NL
ARQ	ARC Energy Ltd
ARS	Alt Resources Limited
ARU	Arafura Resources NL
ARV	Artemis Resources Ltd
AS1	Angel Seafood Holdings Ltd
ASB	Austal Ltd
ASG	Autosports Group Limited.
ASH	Ashley Services Group Limited
ASIA	Betashares Asia Technology Tigers
ASN	Anson Resources Limited
ASP	Aspermont Ltd
ASQ	Asset Loans Ltd
AST	Ausnet Services
ASTKOA	Ausnet Services Limited
ASTKOB	Ausnet Services Limited
ASW	Advanced Share Registry Ltd
ASX	Australian Stock Exchange Ltd
ASXKOA	Asx Limited
ASXKOB	Asx Limited
ASXKOE	Asx Limited
ASXKOP	Asx Limited
ASXKOR	Asx Limited
ASXKOS	Asx Limited
ASXKOU	Asx Limited
ATA	Atc Alloys Ltd
ATC	Advantage Telecommunications Ltd
ATH	Atech Holdings Ltd
ATL	Auto Enterprises Ltd
ATM	Aneka Tambang (Persero) Tbk (Indo)
ATP	Atlas Pacific Ltd
ATR	Astron Ltd
ATS	Australis Oil & Gas Limited
ATU	Atrum Coal Nl
ATUO	Atrum Coal Limited
ATX	Austminex Ltd
AU1	Ausnet Financial Services Limited
AU1OA	The Agency Group Australia Ltd
AU8	Aumake International Limited
AUB	Austbrokers Holdings Ltd
AUC	Ausgold Limited
AUDS	Betashares Strong Australian Dollar
AUH	Australian Healthcare Technology Ltd
AUI	Australian United Investment Ltd
AUL	Australian United Gold Ltd
AULOD	Austar Gold Limited
AUMF	Ishares Edge Msci Australia Multifactor Etf
AUP	Aurora Property Income Trust
AUQ	Alara Uranium Ltd
AUR	Auris Minerals Limited
AUROC	Auris Minerals Limited
AUST	Betashares Managed Risk Australian Share Fund (man
AUT	Aurora Oil & Gas Ltd
AUZ	Australian Mines Ltd
AV1	Adveritas Limited
AV1O	Adveritas Limited
AVA	Aviva Corporation Ltd
AVC	Australian Visual Communications
AVE	Aevum Ltd
AVG	Australian Vintage Ltd t/over by SWS
AVH	Avita Medical Ltd
AVJ	AV Jennings Homes Ltd
AVL	Anvil Mining Nl
AVN	Avon Resources Ltd
AVQ	Axiom Mining Ltd
AVW	Avira Energy Limited
AVZ	Avonlea Minerals Ltd
AVZO	Avz Minerals Limited
AWC	Alumina Ltd
AWCKOA	Alumina Limited
AWCKOB	Alumina Limited
AWCKOD	Alumina Limited
AWCKOF	Alumina Limited
AWCKOI	Alumina Limited
AWCKOJ	Alumina Limited
AWCKOP	Alumina Limited
AWCKOR	Alumina Limited
AWCKOS	Alumina Limited
AWCKOT	Alumina Limited
AWCKOU	Alumina Limited
AWCKOX	Alumina Limited
AWN	Arowana International Limited
AWV	Anova Metals Limited
AWY	Australian Whisky Holdings Limited
AX1	Accent Group Limited
AX8	Accelerate Resources Limited
AXE	Archer Exploration Ltd
AXI	Axiom Properties Ltd
AXL	Aucxis
AXLHA	Axsesstoday Limited
AXT	Argo Exploration Ltd
AYF	Australian Enhanced Income Fund
AYI	A1 Investments & Resources Ltd
AYM	Altius Mining Limited
AYR	Alloy Resources Ltd
AYS	Amaysim Australia Limited
AYUHB	Australian Unity Limited
AYUHC	Australian Unity Limited
AYUHD	Australian Unity Limited
AZI	Alta Zinc Limited
AZJ	Aurizon Holdings Limited
AZJKOA	Aurizon Holdings Limited
AZJKOB	Aurizon Holdings Limited
AZJKOE	Aurizon Holdings Limited
AZJKOP	Aurizon Holdings Limited
AZJKOQ	Aurizon Holdings Limited
AZJKOS	Aurizon Holdings Limited
AZJKOT	Aurizon Holdings Limited
AZM	Azumah Resources Ltd
AZS	Azure Minerals Ltd
AZV	Azure Healthcare Limited
AZY	Antipa Minerals Limited
B2Y	Bounty Mining Limited
BAF	Blue Sky Alternatives Access Fund Limited
BAL	Bellamys Australia Limited
BAP	Burson Group Limited
BAPKOB	Bapcor Limited
BAPKOC	Bapcor Limited
BAPKOQ	Bapcor Limited
BAPKOR	Bapcor Limited
BAR	Barra Resources ltd
BAS	Bass Strait Oil Company Ltd
BASOB	Bass Oil Limited
BAT	Battery Minerals Limited
BATO	Battery Minerals Limited
BBC	Babcock & Brown Communities Group
BBL	Brisbane Broncos Ltd
BBN	Baby Bunting Group Limited
BBOZ	Betashares Australian Equities Strong Bear Hedge F
BBUS	Betashares U.s. Equities Strong Bear Fund
BBX	BBX Holdings Ltd
BC8	Black Cat Syndicate Limited
BCB	Bowen Coking Coal Limited
BCC	Buccaneer Energy Ltd
BCI	BC Iron Ltd
BCK	Brockman Mining Limited
BCN	Beacon Minerals Ltd
BCNOB	Beacon Minerals Limited
BCT	Bluechiip Limited
BD1	Bard1 Life Sciences Limited
BDA	Bod Australia Limited
BDC	Bardoc Gold Limited
BDG	Bendigo Mining Ltd
BDI	Blina Diamonds NL
BEAR	Betashares Australian Equities Bear Hedge Fund
BEE	Broo Ltd
BEL	Bentley International Ltd
BEM	Blackearth Minerals Nl
BEN	Bendigo Bank Ltd
BENHB	Bendigo And Adelaide Bank Limited
BENKOB	Bendigo And Adelaide Bank Limited
BENKOC	Bendigo And Adelaide Bank Limited
BENKOG	Bendigo And Adelaide Bank Limited
BENKOR	Bendigo And Adelaide Bank Limited
BENKOS	Bendigo And Adelaide Bank Limited
BENKOT	Bendigo And Adelaide Bank Limited
BENPE	Bendigo And Adelaide Bank Limited
BENPF	Bendigo And Adelaide Bank Limited
BENPG	Bendigo And Adelaide Bank Limited
BET	Belmont Holdings Ltd
BFC	Beston Global Food Company Limited
BFG	Bell Financial Group Ltd
BGA	Bega Cheese Limited
BGL	Bigair Group Ltd
BGP	Briscoe Group Australasia Limited
BGT	Bio-gene Technology Ltd
BHD	Benjamin Hornigold Limited
BHDO	Benjamin Hornigold Limited
BHL	Bidvest Plc
BHP	BHP Billiton Ltd
BHPBOE	Bhp Group Limited
BHPKOB	Bhp Billiton Limited
BHPKOC	Bhp Billiton Limited
BHPKOF	Bhp Billiton Limited
BHPKOH	Bhp Billiton Limited
BHPKOI	Bhp Billiton Limited
BHPKOK	Bhp Billiton Limited
BHPKOL	Bhp Billiton Limited
BHPKOM	Bhp Billiton Limited
BHPKON	Bhp Billiton Limited
BHPKOP	Bhp Billiton Limited
BHPKOR	Bhp Billiton Limited
BHPKOW	Bhp Billiton Limited
BHPLOC	Bhp Billiton Limited
BHPLOJ	Bhp Billiton Limited
BHPLON	Bhp Billiton Limited
BHPLOP	Bhp Billiton Limited
BHPLOS	Bhp Billiton Limited
BHPLOT	Bhp Billiton Limited
BHPLOV	Bhp Billiton Limited
BHPLOW	Bhp Billiton Limited
BHPLOX	Bhp Billiton Limited
BHPLOY	Bhp Billiton Limited
BHPMOD	Bhp Billiton Limited
BHPMOT	Bhp Group Limited
BHPMOU	Bhp Group Limited
BHPMOV	Bhp Group Limited
BID	Bidenergy Limited
BILL	Ishares Core Cash
BIN	Bingo Industries Limited
BINKOC	Bingo Industries Limited
BINKOD	Bingo Industries Limited
BINKOE	Bingo Industries Limited
BINKOG	Bingo Industries Limited
BIQ	Buildingiq Inc
BIR	Burswood
BIS	
BIT	Biotron Ltd
BKI	Brickworks Investment Company Ltd
BKL	Blackmores Laboratories Ltd
BKLKOA	Blackmores Limited
BKLKOP	Blackmores Limited
BKLKOQ	Blackmores Limited
BKM	BKM Management Ltd
BKT	Black Rock Mining Limited
BKW	Brickworks Ltd
BKWKOA	Brickworks Limited
BKWKOB	Brickworks Limited
BKY	Berkeley Resources Ltd
BLA	Blue Sky Alternative Investments Limited
BLD	Boral Ltd
BLDBOA	Boral Limited.
BLDBOZ	Boral Limited.
BLDKOA	Boral Limited.
BLDKOE	Boral Limited.
BLDKOP	Boral Limited.
BLDKOQ	Boral Limited.
BLG	Blugass Ltd
BLK	Blackham Resources Ltd
BLKOB	Blackham Resources Limited
BLT	Benitec Ltd
BLU	Bluefreeway Ltd
BLV	Bligh Ventures
BLX	Beacon Lighting Group Limited
BLY	Boart Longyear Ltd
BLYO	Boart Longyear Limited
BLZ	Blaze International Ltd
BLZO	BLZO
BMG	Brazilian Metals Group Limited.
BMH	Baumart Holdings Limited
BMN	Bannerman Resources Ltd
BNKS	Betashares Global Banks Etf - Currency Hedged
BNL	Balkans Gold Ltd
BNO	Bionomics Ltd
BNR	Bulletin Resources Limited
BOA	Boadicea Resources Limited
BOC	Bougainville Copper Ltd (PNG)
BOE	Boss Energy Ltd
BOL	Boom Logistics Ltd
BOND	Spdr S&p/asx Australian Bond Fund
BOQ	Bank of Queensland Ltd
BOQBOB	Bank Of Queensland Limited.
BOQBOC	Bank Of Queensland Limited.
BOQBOY	Bank Of Queensland Limited.
BOQKOD	Bank Of Queensland Limited.
BOQKOE	Bank Of Queensland Limited.
BOQKOF	Bank Of Queensland Limited.
BOQKOP	Bank Of Queensland Limited.
BOQKOR	Bank Of Queensland Limited.
BOQKOS	Bank Of Queensland Limited.
BOQPE	Bank Of Queensland Limited.
BOT	Botanix Pharmaceuticals Ltd
BPG	Byte Power Group Ltd
BPH	BioPharmica Ltd
BPL	Broken Hill Prospecting Limited
BPLRA	Broken Hill Prospecting Limited
BPP	Babylon Pump & Power Limited
BPT	Beach Petroleum Ltd
BPTKOA	Beach Energy Limited
BPTKOB	Beach Energy Limited
BPTKOC	Beach Energy Limited
BPTKOP	Beach Energy Limited
BPTKOQ	Beach Energy Limited
BPTKOR	Beach Energy Limited
BRB	Breaker Resources Nl
BRG	Breville Group Ltd
BRGKOC	Breville Group Limited
BRGKOD	Breville Group Limited
BRGKOG	Breville Group Limited
BRI	Breakwater Island Trust
BRK	BreakFree Ltd
BRKOA	Brookside Energy Limited
BRL	Brl Hardy
BRN	Brainchip Holdings Ltd
BRU	Buru Energy Ltd
BRV	Big River Gold Ltd
BRVO	Big River Gold Ltd
BSA	Broadcast Services Australia Ltd
BSE	BSE
BSL	BlueScope Steel Ltd
BSLBOA	Bluescope Steel Limited
BSLKOA	Bluescope Steel Limited
BSLKOB	Bluescope Steel Limited
BSLKOC	Bluescope Steel Limited
BSLKOF	Bluescope Steel Limited
BSLKOG	Bluescope Steel Limited
BSLKOP	Bluescope Steel Limited
BSLKOS	Bluescope Steel Limited
BSM	Bass Metals Ltd
BSMOC	Bass Metals Ltd
BSN	Bisan Ltd
BSP	Black Star Petroleum Limited
BSR	Bassari Resources Ltd
BSX	Blackstone Minerals Limited
BTC	BioTech Capital Ltd
BTH	Bigtincan Holdings Limited
BTI	Bailador Technology Investments Limited
BTK	Botai Technology Limited
BUB	Bubs Australia Limited
BUD	Buddy Platform Ltd
BUG	Buderim Ginger Ltd
BUX	Buxton Resources Ltd
BUY	Bounty Oil & Gas NL
BVS	Bravura Solutions Limited.
BVSKOA	Bravura Solutions Limited.
BVSKOB	Bravura Solutions Limited.
BVSKOC	Bravura Solutions Limited.
BVSKOD	Bravura Solutions Limited.
BVSKOE	Bravura Solutions Limited.
BWF	Blackwall Property Funds Limited
BWP	Bunnings Warehouse Property Trust
BWR	Blackwall Property Trust
BWX	Bwx Limited
BXB	Brambles Ltd
