Symbol	Description
AN	Arena Minerals Inc
ANE	Altan Nevada Minerals Limited
ANG	Angel Gold Corp
ANK	Angkor Resources Corp
ANL.H	Atlantic Industrial Minerals Inc
ANTI.P	Antera Ventures I Corp
ANTL	Antler Gold Inc
ANTV.P	Antalis Ventures Corp
ANZ	Alianza Minerals Ltd
AORO	Aloro Mining Corp
APC	Advanced Proteome Therapeutics Corp
APL	Appulse Corp
APLI	Appili Therapeutics Inc
APN	Altiplano Minerals Ltd
APX	Apex Resources Inc
AQS	Aequus Pharmaceuticals Inc
AQS.DB	Aequus Pharmaceuticals Inc 9.5 Pct Debs
AQS.WT	Aequus Pharmaceuticals Inc WT
AQUA	Aquarius Ai Inc.
ARCH	Arch Biopartners Inc
ARD	Armada Data Corp
ARH	Altima Resources Ltd
ARIC	Awale Resources Ltd
ART	Arht Media Inc
ARTG	Artemis Gold Inc
ARU	Aurania Resources Ltd
ASG	Aurora Spine Corp
ASI	Ashanti Sankofa Inc
ASL	Argentum Silver Corp
ASN	Asian Mineral Res Ltd
ASQ	Astorius Resources Ltd
AST	Astron Connect Inc
ASTN.P	Auston Capital Corp
ATC	Atac Resources Ltd
ATE	Antibe Therapeutics Inc
ATI	Altai Resources Inc
ATU	Altura Energy Inc
ATV	Alto Ventures Ltd
ATW	Atw Tech Inc
ATX	Atex Resources Inc
ATY	Atico Mining Corp
AU	Aurion Resources Ltd
AUAU	Allegiant Gold Ltd
AUL	Aurelius Minerals Inc
AUMB	1911 Gold Corp
AUN	Aurcana Corporation
AUOC.P	Aumento Capital Vii Corporation
AUR.H	Aurora Royalties Inc
AURX	Aurex Energy Corp
AUS.H	Austpro Energy Corp
AUT	Austin Resources Ltd
AUU	Aura Resources Inc
AUX	Auramex Resource Corp
AVCR	Avricore Health Inc
AVG	Avidian Gold Corp
AVN	Avanti Energy Inc
AVU	Avrupa Minerals Ltd
AVX	Altair Resources Inc
AWE	Thunderstruck Resources Ltd
AWI	Advent Awi Holdings Inc
AWX	Arcwest Exploration Inc
AXE	Acceleware Ltd
AXIS	Axis Auto Finance Inc
AXL	Arrow Exploration Corp
AXM	Axmin Inc
AXV	Axion Ventures Inc
AZ	A2Z Technologies Canada Corp
AZM	Azimut Exploration Inc
AZR	Azarga Metals Corp
AZS	Arizona Silver Exploration Inc
AZT	Aztec Minerals Corp
B	Bcm Resources Corp
BABY	Else Nutrition Holdings Inc
BAL.H	Balto Resources Ltd
BANC	Bankers Cobalt Corp
BAQ.P	Bluewater Acquisition Corp
BAT	Batero Gold Corp
BATT	Bluebird Battery Metals Inc
BAU	Blue Star Gold Corp
BAV.H	Bravern Ventures Ltd
BAY	Aston Bay Holdings Ltd
BBB	Brixton Metals Corp
BCF	Builders Capital Mortgage Corp
BCK	Blind Creek Resources Ltd
BCM	Bear Creek Mining Corp
BCR.H	Bluerock Ventures Corp
BCT	Briacell Therapeutics Corp
BCU	Bell Copper Corporation
BDGC	Boundary Gold and Copper Mining Ltd.
BEA	Belmont Resources Inc
BEE	Bee Vectoring Technologies Intl Inc
BEER	Hill Street Beverage Company Inc
BER.H	BE Resources Inc
BES	Braille Energy Systems Inc
BEW	Bewhere Holdings Inc
BEX	Benton Resources Inc
BFF	Nevada Energy Metals Inc
BGA	Bioneutra Global Corp
BGD.H	Bullion Gold Resources Corp
BGF	Beauce Gold Fields Inc
BGS	Baroyeca Gold and Silver Inc
BHR	Blackheath Resources Inc
BHS	Bayhorse Silver Inc
BHT	Braveheart Resources Inc
BITF	Bitfarms Ltd
BITK	Blockchaink2 Corp
BKM	Pacific Booker Minerals Inc
BKMT	Blockmint Technologies Inc
BKR	Berkwood Resources Ltd
BLC.H	Black Lion Capital Corp
BLM	Blumetric Environmental Inc
BLN	Blackline Safety Corp
BLOK	Block One Capital Inc
BME	Barsele Minerals Corp
BMET	Bemetals Corp
BMGB.P	Bmgb Capital Corp
BMK	Macdonald Mines Expl Ltd
BMM	Black Mammoth Metals Corp
BMX	Boreal Metals Corp
BNCH	Benchmark Metals Inc
BOL	Bold Ventures Inc
BOLD.P	Bold Capital Enterprises Ltd
BP	Backstageplay Inc
BPLI	Bluedrop Performance Learning Inc
BQE	Bqe Water Inc
BRAG	Bragg Gaming Group Inc
BRC	Blackrock Gold Corp
BRL	Bearclaw Capital Corp
BRM	Biorem Inc
BRN.PR.A	Brookfield Investments Corp Pref A
BRO	Barksdale Capital Corp
BRTL	Brattle Street Investment Corp.
BRZ	Bearing Lithium Corp
BSH	Bayshore Petroleum Corp
BSK	Blue Sky Uranium Corp
BSR	Bluestone Resources Inc
BST	Bessor Minerals Inc
BTI	Bioasis Technologies Inc
BTR	Bonterra Resources Inc
BTRY.P	Battery Road Capital Corp
BTT	Bitterroot Resources Ltd
BTU	Btu Metals Corp
BTV	Bluerush Inc
BUD	Satori Resources Inc
BUF	Buffalo Coal Corp
BUS	Grande West Transportation Group Inc
BUZH.P	Buzz Capital 2 Inc
BVA	Bravada Gold Corp
BVC.H	Barolo Ventures Corp
BWLK	Boardwalktech Software Corp
BWR	Bwr Exploration Inc
BXR	Blue River Resources Ltd
BYM.H	Baymount Incorporated
BYN	Banyan Gold Corp
BZ	Benz Mining Corp
BZBZ.P	Buzbuz Capital Corp
C	Contact Gold Inc
CAC.P	Cinaport Acquisition Corp III
CAD	Colonial Coal International Corp
CAF	Canaf Investments Inc
CAG	Composite Alliance Group Inc
CAK.H	Capricorn Business Acquisitions Inc
CANB	Canadabis Capital Inc
CAND	Candelaria Mining Corp
CANX	Canex Metals Inc
CAP	Castle Peak Mining Ltd
CASA	Casa Minerals Inc
CAU.H	China Goldcorp Ltd
CAY	Cache Exploration Inc
CBA	Champion Bear Res Ltd
CBAR.P	Castlebar Capital Corp
CBG	Chibougamau Independent Mines Inc
CBI	Colibri Resource Corp
CBLU	Clear Blue Technologies Intl Inc
CBR	Cabr AL Gold Inc
CBS	Bard Ventures Ltd
CBV	Cobra Venture Corp
CCB	Canada Carbon Inc
CCD	Cascadero Copper Corp
CCE	Commerce Resources Corp
CCW	Canada Cobalt Works Inc
CD	Cantex Mine Development Corp
CDA	Canuc Resources Corp
CDB	Cordoba Minerals Corp
CDC	Cadillac Ventures Inc
CDG	Candente Gold Corp
CDU	Cardero Resource Corp
CE.H	Canada Energy Partners Inc.
CEM	Constantine Metal Resources Ltd
CEN	Claren Energy Corp
CEP	Cliffside Capital Ltd
CFM	Confederation Minerals Ltd
CFY	Cf Energy Corp
CGD	Carlin Gold Corp
CGLD	Core Gold Inc
CGP	Cornerstone Capital Resources Inc
CHC	Chc Student Housing Corp
CHEM	Canadian Energy Materials Corp
CHN	China Education Resources Inc
CHY.H	Cypress Hills Resource Corp
CIO	Central Iron Ore Limited
CIP.H	Canadian International Pharma Corp
CIT	Cr Capital Corp
CJC	Quebec Precious Metals Corp
CKG	Chesapeake Gold Corp
CKK	Cordy Oilfield Services Inc
CLH	Coral Gold Resources Ltd
CLI	Clearford Water Systems Inc
CLM	Crystal Lake Mining Corp
CLV	Canoe Mining Ventures Corp
CLZ	Canasil Resources Inc
CMB	Cmc Metals Ltd
CMD	Commander Resources Ltd
CMI	C-Com Satellite Systems Inc
CML	Canickel Mining Limited
CMO.H	Cliffmont Resources Ltd
CMU	Comet Industries Ltd
CMX	Chilean Metals Inc
CN	Condor Resources Inc
CNO	California Nanotechnologies Corp
CNS	Contagious Gaming Inc
CNX	Callinex Mines Inc
COBC	Cobalt Blockchain Inc
COIN	Coin Hodl Inc
COL	Copper North Mining Corp
COLL.P	Collingwood Resources Corp
CONE	Canada One Mining Corp
COO	Naturebank Asset Management Inc
COPS	Crops Inc
COR	Camino Minerals Corp
CORE	Canadian Orebodies Inc
COT	Cotinga Pharmaceuticals Inc
COV	Covalon Technologies Ltd
CPA.H	Chinapintza Mining Corp
CPL	Copper Lake Resources Ltd
CPM	Crystal Peak Minerals Inc
CPS	Canadian Premium Sand Inc
CQR	Conquest Resources Ltd
CRB	Cariboo Rose Resources Ltd
CRE	Critical Elements Lithium Corp
CRU	Cameo Industries Corp
CRV	Cresval Capital Corp
CRYS.P	Crystal Bridge Enterprises Inc
CSL	Comstock Metals Ltd
CSO	Corsa Coal Corp
CSOC.A	Canso Select Opportunities Corp Class A
CSOC.B	Canso Select Opportunities Corp Class B
CSTR	Cryptostar Corp
CSX	Clean Seed Capital Group Ltd
CTA	Centaurus Energy Inc.
CTEC	Central Timmins Exploration Corp
CTM	Canterra Minerals Corp
CTN	Centurion Minerals Ltd
CTO	Circa Enterprises Inc
CTS	Converge Technology Solutions Corp
CTU	Le Chateau Inc Cl B
CTZ	Namsys Inc
CUB	Cubicfarm Systems Corp
CUC	Carube Copper Corp
CUDA	Cuda Oil & Gas Inc
CUI	Currie Rose Resources Inc
CUSP.P	Cuspis Capital Ltd
CUU	Copper Fox Metals Inc
CVB	Compass Gold Corporation
CVV	Canalaska Uranium Ltd
CVX	Cematrix Corp
CWC	Cwc Energy Services Corp
CWM	Crown Mining Corp
CWRK	Currencyworks Inc
CWV	Crown Point Energy Inc
CX	Clarmin Explorations Inc
CXO	Colorado Resources Ltd
CYF	Canyon Creek Food CO Ltd
CYL	Ceylon Graphite Corp
CYM	Cymat Technologies Ltd
CYP	Cypress Development Corp
CYX	Calyx Ventures Inc
CZ.H	Cassius Ventures Ltd
CZO	Ceapro Inc
CZR	Cruzsur Energy Corp
CZR.WT	Cruzsur Energy Corp WT
CZZ	Cleghorn Minerals Ltd
DAC	Datable Technology Corp
DAL	Dalmac Energy Inc
DAN	Arianne Phosphate Inc
DASH	Neptune Dash Technologies Corp
DAU	Desert Gold Ventures Inc
DBV	Doubleview Capital Corp
DCMC	Dore Copper Mining Corp
DCOP	District Copper Corp
DCY	Discovery-Corp. Enterprises Inc
DDD.P	Dynamo Capital Corp
DE	Decisive Dividend Corp
DEC	Decade Resources Ltd
DEF	Defiance Silver Corp
DEFN	Defense Metals Corp
DELX	Delphx Capital Markets Inc
DEX	Almadex Minerals Ltd
DFR	Diamond Fields Resources Inc
DG	Dixie Gold Inc.
DGO	Durango Resources Inc
DHR	Discovery Harbour Resources Corp
DIA	Margaret Lake Diamonds Inc
DJI	Dajin Lithium Corp.
DLP	Mg Capital Corp
DLS	Dealnet Capital Corp
DLTA	Delta Resources Ltd.
DLV.H	Dv Resources Ltd
DM	Datametrex Ai Ltd
DME	Desert Mountain Energy Corp
DMGI	Dmg Blockchain Solutions Inc
DMI	Diamcor Mining Inc
DMR	Damara Gold Corp
DMX	District Metals Corp
DOS	Dios Exploration Inc
DSM	Deep South Resources Inc
DSV	Discovery Metals Corp
DSY	Destiny Media Technologies Inc
DV	Dolly Varden Silver Corp
DVI	Dunnedin Ventures Inc
DWS	Diamond Estates Wines and Spirits Inc
DXX	Dxstorm.com Inc
DYA	Dynacert Inc
DYG	Dynasty Gold Corp
EAC	Earth Alive Clean Technologies Inc
EAM	East Africa Metals Inc
EAS	East Asia Minerals Corp
EAST	Eastwest Bioscience Inc
EAU	Engineer Gold Mines Ltd
EBM	Eastwood Bio Medical Canada Inc
EBY	Emerald Bay Energy Inc
ECC	Ethos Gold Corp
ECM	Ecolomondo Corporation
ECR	Cartier Resources Inc
ECT	Ellipsiz Communications Ltd
ECX.H	Eastcoal Inc
EDG	Endurance Gold Corp
EDW.H	Edgewater Exploration Ltd
EGA	Eagle Graphite Incorporated
EGLX	Enthusiast Gaming Holdings Inc
EGM	Engold Mines Ltd
EGT	Eguana Technologies Inc
EH.P	Elephant Hill Capital Inc
EHT	Enerdynamic Hybrid Tech Corp
EIL	Empire Industries Ltd
EKG	Cardiocomm Solutions Inc
EL	Engagement Labs Inc
ELC	Elysee Development Corp
ELM	Element Lifestyle Retirement Inc
ELN	El Nino Ventures Inc
ELO	Eloro Resources Ltd
ELXR	Elixxer Ltd.
ELY	Ely Gold Royalties Inc
EMC.WT.A	Emblem Corp WT
EMH	Emerald Health Therapeutics Inc
EMM	Giyani Metals Corp
EMN	Euro Manganese Inc
EMO	Emerita Resources Corp
EMPX	Empress Resources Corp
EMR	Emgold Mining Corp
EMX	Emx Royalty Corp
ENA	Enablence Technologies Inc
ENRG	New Energy Metals Corp
ENW	Enwave Corp
ENW.WT	Enwave Corporation WT
EOG	Eco Atlantic Oil and Gas Ltd
EPI	Essa Pharma Inc
EPL	Eagle Plains Resources Ltd
EPO	Encanto Potash Corp
EQ	Eq Inc
EQG	Eqube Gaming Limited
EQTY	Equity Metals Corporation
ERA	Elcora Advanced Materials Corp
ERC	Eros Resources Corp
ERE.UN	European Residential Re Investment Trust
ESK	Eskay Mining Corp
ESPT	Umg Media Ltd
ESR	Esrey Resources Ltd
ESS	Esstra Industries Inc
ESU	Eestor Corp
ESX	Essex Minerals Inc
ETF	Eastfield Resources Ltd
ETMC	E3 Metals Corp
EU	Encore Energy Corp
EV	Erin Ventures Inc
EVE	Eve and CO Incorporated
EVE.WT	Eve and CO Incorporated WT
EVER	Evergold Corp
EVM	Evrim Resources Corp
EVX	European Electric Metals Inc
EW	East West Petroleum Corp
EWK	Earthworks Industries Inc
EWS	Environmental Waste International Inc
EXG	Exgen Resources Inc
EXP	Experion Holdings Ltd.
EXS	Explor Resources Inc
EXX	Equitorial Exploration Corp
EYC	Eyecarrot Innovations Corp
F	Fiore Gold Ltd.
FA	Fountain Asset Corp
FBF	Fab-Form Industries Ltd
FCA.DB	Firm Cap Amer Rty Prn Corp 6.75 Pct Debs
FCA.U	Firm Capital American Realty Part Corp
FCA.UN	Firm Capital American Realty Partners Trust
FCC	First Cobalt Corp
FCD.UN	Firm Capital Property Trust
FCF	Founders Advantage Capital Corp
FCO	Fabled Copper Corp
FD	Facedrive Inc
FDI	Findev Inc
FEO	Oceanic Iron Ore Corp
FEX	Fjordland Exploration Inc
FFOX	Firefox Gold Corp
FG	Falcon Gold Corp
FGC	Frontline Gold Corp
FIL	Filo Mining Corp
FISH	Sailfish Royalty Corp
FIX	Firebird Resources Inc
FL	Frontier Lithium Inc
FLT	Drone Delivery Canada Corp
FLT.WT	Drone Delivery Canada Corp WT
FLWR	The Flowr Corporation
FLWR.WT	The Flowr Corporation WT
FLX	Fieldex Exploration Inc.
FLY	Flyht Aerospace Solutions Ltd
FMC	Forum Energy Metals Corp
FMG	First Mexican Gold Corp
FMN	Fidelity Minerals Corp
FMS	Focus Graphite Inc
FNC	Fancamp Exploration Ltd
FNR	49 North Resources Inc
FO	Falcon Oil & Gas Ltd
FOM	Foran Mining Corp
FOR	Fortune Bay Corp
FORT	Fortress Technologies Inc
FP	Fp Newspapers Inc
FPC	Falco Resources Ltd
FPX	Fpx Nickel Corp
FRE	Fremont Gold Ltd
FRI	Freeport Resources Inc
FRKL	Freckle Ltd
FRN	Feronia Inc
FRO.UN	Fronsac Real Estate Investment Trust
FSW.H	Fireswirl Technologies Inc
FTEC	Fintech Select Ltd
FTI	Fti Foodtech International Inc
FTJ	Fort ST James Nickel Corp
FUND	Katipult Technology Corp
FURA	Fura GEMS Inc
FUU	Fission 3.0 Corp
FV	Firestone Ventures Inc
FVAN	First Vanadium Corp
FW	Flow Capital Corp
FW.DB.B	Flow Capital Corp 7.0 Pct Debs
FWZ	Fireweed Zinc Ltd
FYL	Finlay Minerals Ltd
GAIA	Gaia Grow Corp
GAL	Galantas Gold Corp
GAME	Torque Esports Corp.
GAR.H	Green Arrow Resources Inc
GB	Ginger Beef Corp
GBLT	Gblt Corp
GBML	Global Battery Metals Ltd.
GBR	Great Bear Resources Ltd
GBU	Gabriel Res J
GCC.H	Golden Cariboo Resources Ltd
GCN	Goldcliff Resource Corp
GCR	Gespeg Resources Ltd.
GCX	Granite Creek Copper Ltd
GDBO	Gold Rush Cariboo Corp
GDM	Goldstar Minerals Inc
GDNP	Good Natured Products Inc
GDP	Golden Pursuit Resources Ltd
GDX	Goldex Resources Corp
GEMC	Global Energy Metals Corp
GENE	Invictus MD Strategies Corp
GENE.WT	Invictus MD Strategies Corp WT
GENX	Genix Pharmaceuticals Corp
GER	Glen Eagle Resources Inc
GFG	Gfg Resources Inc
GG	Galane Gold Ltd
GGG	Graphene 3D Lab Inc
GGI	Garibaldi Resources Corp
GGL	Ggl Resources Corp
GGM	Granada Gold Mine Inc
GGO	Galleon Gold Corp.
GGX	Ggx Gold Corp
GHL	Goldhills Holding Ltd.
GHR	Golden Harp Resources Inc
GI.H	Gem International Resources Inc
GIG.P	Xau Resources Inc
GIGA	Giga Metals Corp
GIII	Gen III Oil Corp
GIS	Genesis Metals Corp
GIT	Gitennes Exploration Inc
GLB	Goldbank Mining Corp
GLD	Goldon Resources Ltd
GLDN	Golden Ridge Resources Ltd
GLDX	Gold X Mining Corp.
GLI	Glacier Lake Resources Inc
GLV	Global Vanadium Corp
GLW	Galway Gold Inc
GLXY	Galaxy Digital Holdings Ltd
GMA	Geomega Resources Inc
GMC	Gaia Metals Corp.
GMN	Gobimin Inc
GMV	Gmv Minerals Inc
GNC	Gainey Capital Corp
GNF	Greenfields Petroleum Corp
GNG	Golden Goliath Resources Ltd
GOE	Goldeneye Resources Corp
GOG	Golden Tag Resources Ltd
GOLO	Golo Mobile Inc
GOM	Golden Dawn Minerals Inc
GOP.H	Gourmet Ocean Products Inc
GOT	Goliath Resources Limited
GPG	Grande Portage Resources Ltd
GPH	Graphite One Inc
GPLY	Goldplay Exploration Ltd
GPM	Gpm Metals Inc
GPV	Greenpower Motor Company Inc
GPY	Golden Predator Mining Corp
GQC	Goldquest Mining Corp
GQM.H	Golden Queen Mining Consolidated Ltd
GR	Great Atlantic Resources Corp
GRA	Nanoxplore Inc
GRAT	Gratomic Inc
GRB	Greenbriar Capital Corp
GRCC	Green Rise Capital Corporation
GRDM	Grid Metals Corp
GRG	Golden Arrow Res Corp
GRI	Galore Resources Inc
GRK	Gray Rock Resources Ltd
GRN	Greenlane Renewables Inc
GRN.WT	Greenlane Renewables Inc WT
GROW	Co2 Gro Inc
GRSL	Gr Silver Mining Ltd
GRZ	Gold Reserve Inc
GSD	Devonian Health Group Inc
GSGS.P	Greenstone Capital Corp
GSH	Golden Share Resources Corp
GSI	Gatekeeper Systems Inc
GSP	Gensource Potash Corp
GSPR	Gsp Resource Corp
GSR	Goldstrike Resources Ltd
GSS	Gossan Resources Limited
GTC	Getty Copper Inc
GTD.H	Gstaad Capital Corp
GTEC	Gtec Holdings Ltd
GTG	Great Thunder Gold Corp
GTR	Gatling Exploration Inc
GTT	GT Gold Corp
GTWO	G2 Goldfields Inc
GUG	Gungnir Resources Inc
GUN	Gunpoint Exploration Ltd
GUS	Angus Ventures Inc
GV	Guerrero Ventures Inc
GVR	Grosvenor Resources Corp
GWA	Gowest Gold Ltd
GWM	Galway Metals Inc
GXL	Galileo Exploration Ltd
GXS	Goldsource Mines Inc
GXU	Goviex Uranium Inc
GYA	Guyana Goldstrike Inc
GYSR	Geyser Brands Inc
GZD	Grizzly Discoveries Inc
GZZ	Golden Valley Mines Ltd
HAN	Hannan Metals Ltd
HAND	Handa Mining Corp
HANS.P	Hanstone Capital Corp
HAR	Harfang Exploration Inc
HAWK	Hawkeye Gold and Diamond Inc
HBE	Hornby Bay Mineral Exploration Ltd
HBK	Highbank Resources Ltd
HCC	Hanna Capital Corp.
HEI	Huntington Exploration Inc
HELX	Helix Applications Inc
HEM	Hemostemix Inc
HEO	H2O Innovation Inc
HEO.WT	H20 Innovation Inc Wts
HFC	Hampton Financial Corp
HFC.PR.A	Hampton Financial Corporation Pref A
HI	Highland Copper Company Inc
HIGH	Highgold Mining Inc
HIP.WT	Newstrike Resources Ltd WT
HIP.WT.A	Newstrike Resources Ltd WT A
HIRE	Bay Talent Group Inc
HIT	Hit Technologies Inc
HIVE	Hive Blockchain Technologies Inc
HME	Hemisphere Energy Corp
HMT	Halmont Properties Corp
HOC	Hunter Oil Corp
HOCL	Highwood Oil Company Ltd.
HPI	Highbury Projects Inc
HPL	Horizon Petroleum Ltd
HPQ	Hpq Silicon Resources Inc
HPY	Happy Creek Minerals Ltd
HRC	Helio Res Corp
HRE	Stans Energy Corp
HRH	Hillcrest Petroleum Ltd
HRL	Hansa Resources Limited
HSC.P	Holly Street Capital Ltd
HSI	H Source Holdings Ltd
HTC	Htc Purenergy Inc
HTL	Hamilton Thorne Ltd
HTR	Heatherdale Resources Ltd
HUD	Hudson Resources Inc
HVG	Harvest Gold Corp
HVT	Harvest One Cannabis Inc
HVT.WT	Harvest One Cannabis Inc WT
HVT.WT.A	Harvest One Cannabis Inc WT A
HWY	Highway 50 Gold Corp
HYD	Hyduke Energy Services Inc
HZ	Hybrid Minerals Inc
IB	Ibc Advanced Alloys Corp
IBC.H	International Bethlehem Mining Corp
IBIT	Interbit Ltd.
IBT	Ibex Technologies Inc
ICAU	Intercontinental Gold and Metals Ltd
ICL	Itasca Capital Ltd
ICM	Iconic Minerals Ltd
ICO	Ico Therapeutics Inc
ID	Identillect Technologies Corp
IDL	Imaging Dynamics Company Ltd
IEI	Imperial Equities Inc
IFOS	Itafos
IFR	International Frontier Resources Corpora
IFX	Imaflex Inc
IGO	Independence Gold Corp
IGP	Imperial Ginseng Products Ltd
IGX	Intelgenx Technologies Corp
IGX.DB	Intelgenx Technologies Corp 8.0 Pct Debs
ILA	Ilookabout Corp
ILC	International Lithium Corp
ILI	Infinite Lithium Corp
IMA	I-Minerals Inc
IMIN	Imining Blockchain & Cryptocurrency Inc
IMR	Imetal Resources Inc
IMT	International Montoro Res. Inc
INLA	Interlapse Technologies Corp
INP	Input Capital Corp
INX	Intouch Insight Ltd
IO	Inca One Gold Corp
IOM	Assure Holdings Corp
IOT	Innovotech Inc
IOU	Iou Financial Inc
IPA	Immunoprecise Antibodies Ltd
IPC	Iplayco Corporation Ltd
IPD	International Parkside Products Inc
IPG	Imperial Mining Group Ltd
IPT	Impact Silver Corp
IQ	Airiq Inc
IRO	Inter-Rock Minerals Inc
IRR	Inform Resources Corp
ISD	Isign Media Solutions Inc
ISO	Isoenergy Ltd
ISS	International Samuel Exploration Corp
ITM	Intema Solutions Inc
ITR	Integra Resources Corp
ITT	Internet of Things Inc
IVF.H	Invictus Financial Inc
IVI	Ivrnet Inc
IVS	Inventus Mining Corp
IVX	Inventronics Limited
IXI	Indigo Exploration Inc
IZ	International Zeolite Corp
IZN	Inzinc Mining Ltd
IZZ	International Prospect Ventures Ltd
JADE	Jade Leader Corp
JAEG	Jaeger Resources Corp
JAX	Jaxon Mining Inc
JCO	Jericho Oil Corp
JDN	Jayden Resources Inc
JEC	Jura Energy Corp
JFC	Jaguar Financial Corp
JG	Japan Gold Corp
JHC.H	Jinhua Capital Corp
JLR	Jiulian Resources Inc
JOR	Jourdan Resources Inc
JP	Jackpot Digital Inc
JP.WT.J	Jackpot Digital Inc
JPWR.UN	Jade Power Trust
JRV	Jervois Mining Ltd
JSE	Jadestone Energy Inc
JSP.H	Jasper Mining Corporation
JTC	Jemtec Inc
JTR	Greenspace Brands Inc
JUGR	Juggernaut Exploration Ltd
JWCA	James E. Wagner Cultivation Corp
JZR	Jazz Resources Inc
KAP	Minkap Resources Inc
KASH	Hashchain Technology Inc
KC	Kutcho Copper Corp
KCC	Kincora Copper Limited
KDA	Kda Group Inc
KEN	Kenadyr Mining Holdings Corp
KES	Kesselrun Resources Ltd
KFG	Kfg Resources Ltd
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGL	Kilo Goldmines Ltd
KHRN	Khiron Life Sciences Corp
KIDZ	Kidoz Inc
KING	King Global Ventures Inc
KKL.P	Kelly Ventures Ltd
KLY	Kalytera Therapeutics Inc
KLY.WT.A	Kalytera Therapeutics Inc WT
KLY.WT.B	Kalytera Therapeutics Inc WT B
KMAX	Organimax Nutrient Corp
KMT	Komet Resources Inc
KNE	Kane Biotech Inc
KNG	Kingsmen Resources Ltd
KNO.H	Cellstop Systems Inc
KNT	K92 Mining Inc
KORE	Kore Mining Ltd
KS	Klondike Silver Corp
KSI	Kneat.com Inc
KTN	Kootenay Silver Inc
KTN.WT	Kootenay Silver Inc WT
KTO	K2 Gold Corp
KTR	Kintavar Exploration Inc
KUB	Cub Energy Inc
KUR.H	Kure Technologies Inc
KUT	Redishred Capital Corp
KUU	Kuuhubb Inc
KZD	Kaizen Discovery Inc
LA	Los Andes Copper Limited
LAB	Labrador Gold Corp
LAD	New Carolin Gold Corp
LAT	Latin American Minerals Inc
LBC	Libero Copper & Gold Corp
LBI	Lions Bay Capital Inc
LBL	Lattice Biologics Ltd
LBY	Liberty One Lithium Corp
LDI	Lithoquest Diamonds Inc
LEM	Leading Edge Materials Corp
LEXI	Lithium Energi Exploration Inc
LHR	Lakeview Hotel Invest Corp
LHR.DB.C	Lakeview Hotel Invest Corp Ser C Debs
LI	American Lithium Corp
LIC	Lico Energy Metals Inc
LIFT	Lift & Co. Corp
LIO	Lion One Metals Limited
LIT	Argentina Lithium and Energy Corp
LITH	Lithium Chile Inc
LITT	Roadman Investments Corp
LIVE	Globalive Technology Inc
LKY	Lucky Minerals Inc
LL	Canada Rare Earth Corp
LLG	Mason Graphite Inc
LLO.P	LL One Inc
LM	Lingo Media Corp
LME	Laurion Mineral Exploration Inc
LMG	Lincoln Gold Mining Inc
LMR	Lomiko Metals Inc
LMS	Latin Metals Inc
LND	Inspira Financial Inc
LOG.P	Logica Ventures Corp
LOOP	Loopshare Ltd
LPC	Lorne Park Capital Partners Inc
LPK	Lupaka Gold Corp
