Symbol	Description
EU	Euro Futures
EUH20	Euro Futures {Mar 20}
EUM20	Euro Futures {Jun 20}
EUU20	Euro Futures {Sep 20}
EUZ20	Euro Futures {Dec 20}
FGH20	FANG Index {Mar 20}
FGM20	FANG Index {Jun 20}
FGU20	FANG Index {Sep 20}
FGZ20	FANG Index {Dec 20}
G8H20	ICE Gold Miners {Mar 20}
G8H21	ICE Gold Miners {Mar 21}
G8M20	ICE Gold Miners {Jun 20}
G8U20	ICE Gold Miners {Sep 20}
G8Z20	ICE Gold Miners {Dec 20}
GB	Euro/Pound
GBH20	Euro/Pound {Mar 20}
GBM20	Euro/Pound {Jun 20}
GBU20	Euro/Pound {Sep 20}
GBZ20	Euro/Pound {Dec 20}
GN	Pound/New Zealand
GNH20	Pound/New Zealand {Mar 20}
GNM20	Pound/New Zealand {Jun 20}
GNU20	Pound/New Zealand {Sep 20}
GNZ20	Pound/New Zealand {Dec 20}
GY	Euro/Forint
GYH20	Euro/Forint {Mar 20}
GYM20	Euro/Forint {Jun 20}
GYU20	Euro/Forint {Sep 20}
GYZ20	Euro/Forint {Dec 20}
GZ	Euro/Koruna
GZH20	Euro/Koruna {Mar 20}
GZM20	Euro/Koruna {Jun 20}
GZU20	Euro/Koruna {Sep 20}
GZZ20	Euro/Koruna {Dec 20}
H8	Brazilian Real
H8F20	Brazilian Real {Jan 20}
H8F21	Brazilian Real {Jan 21}
H8F22	Brazilian Real {Jan 22}
H8F23	Brazilian Real {Jan 23}
H8F24	Brazilian Real {Jan 24}
H8F25	Brazilian Real {Jan 25}
H8G20	Brazilian Real {Feb 20}
H8G21	Brazilian Real {Feb 21}
H8G22	Brazilian Real {Feb 22}
H8G23	Brazilian Real {Feb 23}
H8G24	Brazilian Real {Feb 24}
H8H20	Brazilian Real {Mar 20}
H8H21	Brazilian Real {Mar 21}
H8H22	Brazilian Real {Mar 22}
H8H23	Brazilian Real {Mar 23}
H8H24	Brazilian Real {Mar 24}
H8J20	Brazilian Real {Apr 20}
H8J21	Brazilian Real {Apr 21}
H8J22	Brazilian Real {Apr 22}
H8J23	Brazilian Real {Apr 23}
H8J24	Brazilian Real {Apr 24}
H8K20	Brazilian Real {May 20}
H8K21	Brazilian Real {May 21}
H8K22	Brazilian Real {May 22}
H8K23	Brazilian Real {May 23}
H8K24	Brazilian Real {May 24}
H8M20	Brazilian Real {Jun 20}
H8M21	Brazilian Real {Jun 21}
H8M22	Brazilian Real {Jun 22}
H8M23	Brazilian Real {Jun 23}
H8M24	Brazilian Real {Jun 24}
H8N20	Brazilian Real {Jul 20}
H8N21	Brazilian Real {Jul 21}
H8N22	Brazilian Real {Jul 22}
H8N23	Brazilian Real {Jul 23}
H8N24	Brazilian Real {Jul 24}
H8Q20	Brazilian Real {Aug 20}
H8Q21	Brazilian Real {Aug 21}
H8Q22	Brazilian Real {Aug 22}
H8Q23	Brazilian Real {Aug 23}
H8Q24	Brazilian Real {Aug 24}
H8U20	Brazilian Real {Sep 20}
H8U21	Brazilian Real {Sep 21}
H8U22	Brazilian Real {Sep 22}
H8U23	Brazilian Real {Sep 23}
H8U24	Brazilian Real {Sep 24}
H8V20	Brazilian Real {Oct 20}
H8V21	Brazilian Real {Oct 21}
H8V22	Brazilian Real {Oct 22}
H8V23	Brazilian Real {Oct 23}
H8V24	Brazilian Real {Oct 24}
H8X20	Brazilian Real {Nov 20}
H8X21	Brazilian Real {Nov 21}
H8X22	Brazilian Real {Nov 22}
H8X23	Brazilian Real {Nov 23}
H8X24	Brazilian Real {Nov 24}
H8Z20	Brazilian Real {Dec 20}
H8Z21	Brazilian Real {Dec 21}
H8Z22	Brazilian Real {Dec 22}
H8Z23	Brazilian Real {Dec 23}
H8Z24	Brazilian Real {Dec 24}
HCH20	Turkish Lira/Euro {Mar 20}
HCM20	Turkish Lira/Euro {Jun 20}
HCU20	Turkish Lira/Euro {Sep 20}
HCZ20	Turkish Lira/Euro {Dec 20}
HDH20	Turkish Lira/USD {Mar 20}
HDM20	Turkish Lira/USD {Jun 20}
HDU20	Turkish Lira/USD {Sep 20}
HDZ20	Turkish Lira/USD {Dec 20}
HY	Canadian/Yen
HYH20	Canadian/Yen {Mar 20}
HYM20	Canadian/Yen {Jun 20}
HYU20	Canadian/Yen {Sep 20}
HYZ20	Canadian/Yen {Dec 20}
JJ	New Zealand Dollar
JJH20	New Zealand Dollar {Mar 20}
JJM20	New Zealand Dollar {Jun 20}
JJU20	New Zealand Dollar {Sep 20}
JJZ20	New Zealand Dollar {Dec 20}
KC	Coffee
KCH20	Coffee {Mar 20}
KCH21	Coffee {Mar 21}
KCH22	Coffee {Mar 22}
KCK20	Coffee {May 20}
KCK21	Coffee {May 21}
KCK22	Coffee {May 22}
KCN20	Coffee {Jul 20}
KCN21	Coffee {Jul 21}
KCN22	Coffee {Jul 22}
KCU20	Coffee {Sep 20}
KCU21	Coffee {Sep 21}
KCU22	Coffee {Sep 22}
KCZ20	Coffee {Dec 20}
KCZ21	Coffee {Dec 21}
KCZ22	Coffee {Dec 22}
KJ	Krona/Yen
KJH20	Krona/Yen {Mar 20}
KJM20	Krona/Yen {Jun 20}
KJU20	Krona/Yen {Sep 20}
KJZ20	Krona/Yen {Dec 20}
KRH20	Israel Shekel {Mar 20}
KRM20	Israel Shekel {Jun 20}
KRU20	Israel Shekel {Sep 20}
KRZ20	Israel Shekel {Dec 20}
KU	Dollar/Krona
KUH20	Dollar/Krona {Mar 20}
KUM20	Dollar/Krona {Jun 20}
KUU20	Dollar/Krona {Sep 20}
KUZ20	Dollar/Krona {Dec 20}
KY	Krone/Yen
KYH20	Krone/Yen {Mar 20}
KYM20	Krone/Yen {Jun 20}
KYU20	Krone/Yen {Sep 20}
KYZ20	Krone/Yen {Dec 20}
L0H20	MSCI ACWI ex-US {Mar 20}
L0H21	MSCI ACWI ex-US {Mar 21}
L0M20	MSCI ACWI ex-US {Jun 20}
L0U20	MSCI ACWI ex-US {Sep 20}
L0Z20	MSCI ACWI ex-US {Dec 20}
L1H20	MSCI ACWI ex-US NTR {Mar 20}
L1H21	MSCI ACWI ex-US NTR {Mar 21}
L1M20	MSCI ACWI ex-US NTR {Jun 20}
L1U20	MSCI ACWI ex-US NTR {Sep 20}
L1Z20	MSCI ACWI ex-US NTR {Dec 20}
L2H20	MSCI ACWI Index {Mar 20}
L2H21	MSCI ACWI Index {Mar 21}
L2M20	MSCI ACWI Index {Jun 20}
L2U20	MSCI ACWI Index {Sep 20}
L2Z20	MSCI ACWI Index {Dec 20}
L3H20	MSCI ACWI NTR Index {Mar 20}
L3H21	MSCI ACWI NTR Index {Mar 21}
L3M20	MSCI ACWI NTR Index {Jun 20}
L3U20	MSCI ACWI NTR Index {Sep 20}
L3Z20	MSCI ACWI NTR Index {Dec 20}
L4H20	MSCI EM Asia Index {Mar 20}
L4H21	MSCI EM Asia Index {Mar 21}
L4M20	MSCI EM Asia Index {Jun 20}
L4U20	MSCI EM Asia Index {Sep 20}
L4Z20	MSCI EM Asia Index {Dec 20}
L5H20	MSCI EM NTR Index {Mar 20}
L5H21	MSCI EM NTR Index {Mar 21}
L5H22	MSCI EM NTR Index {Mar 22}
L5M20	MSCI EM NTR Index {Jun 20}
L5M21	MSCI EM NTR Index {Jun 21}
L5M22	MSCI EM NTR Index {Jun 22}
L5U20	MSCI EM NTR Index {Sep 20}
L5U21	MSCI EM NTR Index {Sep 21}
L5U22	MSCI EM NTR Index {Sep 22}
L5Z20	MSCI EM NTR Index {Dec 20}
L5Z21	MSCI EM NTR Index {Dec 21}
L5Z22	MSCI EM NTR Index {Dec 22}
MIH20	MSCI USA Growth {Mar 20}
MIH21	MSCI USA Growth {Mar 21}
MIM20	MSCI USA Growth {Jun 20}
MIU20	MSCI USA Growth {Sep 20}
MIZ20	MSCI USA Growth {Dec 20}
NS	Dollar/Krone
NSH20	Dollar/Krone {Mar 20}
NSM20	Dollar/Krone {Jun 20}
NSU20	Dollar/Krone {Sep 20}
NSZ20	Dollar/Krone {Dec 20}
OJ	Orange Juice
OJF20	Orange Juice {Jan 20}
OJF21	Orange Juice {Jan 21}
OJF22	Orange Juice {Jan 22}
OJH20	Orange Juice {Mar 20}
OJH21	Orange Juice {Mar 21}
OJH22	Orange Juice {Mar 22}
OJK20	Orange Juice {May 20}
OJK21	Orange Juice {May 21}
OJK22	Orange Juice {May 22}
OJN20	Orange Juice {Jul 20}
OJN21	Orange Juice {Jul 21}
OJN22	Orange Juice {Jul 22}
OJU20	Orange Juice {Sep 20}
OJU21	Orange Juice {Sep 21}
OJU22	Orange Juice {Sep 22}
OJX20	Orange Juice {Nov 20}
OJX21	Orange Juice {Nov 21}
OJX22	Orange Juice {Nov 22}
OL	Euro/Krone
OLH20	Euro/Krone {Mar 20}
OLM20	Euro/Krone {Jun 20}
OLU20	Euro/Krone {Sep 20}
OLZ20	Euro/Krone {Dec 20}
OR	Dollar/Rand
ORH20	Dollar/Rand {Mar 20}
ORH21	Dollar/Rand {Mar 21}
ORH22	Dollar/Rand {Mar 22}
ORH23	Dollar/Rand {Mar 23}
ORH24	Dollar/Rand {Mar 24}
ORM20	Dollar/Rand {Jun 20}
ORM21	Dollar/Rand {Jun 21}
ORM22	Dollar/Rand {Jun 22}
ORM23	Dollar/Rand {Jun 23}
ORM24	Dollar/Rand {Jun 24}
ORU20	Dollar/Rand {Sep 20}
ORU21	Dollar/Rand {Sep 21}
ORU22	Dollar/Rand {Sep 22}
ORU23	Dollar/Rand {Sep 23}
ORU24	Dollar/Rand {Sep 24}
ORZ20	Dollar/Rand {Dec 20}
ORZ21	Dollar/Rand {Dec 21}
ORZ22	Dollar/Rand {Dec 22}
ORZ23	Dollar/Rand {Dec 23}
ORZ24	Dollar/Rand {Dec 24}
PK	Pound/Krone
PKH20	Pound/Krone {Mar 20}
PKM20	Pound/Krone {Jun 20}
PKU20	Pound/Krone {Sep 20}
PKZ20	Pound/Krone {Dec 20}
PP	Japanese Yen
PPH20	Japanese Yen {Mar 20}
PPM20	Japanese Yen {Jun 20}
PPU20	Japanese Yen {Sep 20}
PPZ20	Japanese Yen {Dec 20}
PR	Canadian Dollar
PRH20	Canadian Dollar {Mar 20}
PRM20	Canadian Dollar {Jun 20}
PRU20	Canadian Dollar {Sep 20}
PRZ20	Canadian Dollar {Dec 20}
PS	Pound/Krona
PSH20	Pound/Krona {Mar 20}
PSM20	Pound/Krona {Jun 20}
PSU20	Pound/Krona {Sep 20}
