Symbol	Description
FXU21	Euro Stoxx 50 {Sep 21}
FXZ20	Euro Stoxx 50 {Dec 20}
FXZ21	Euro Stoxx 50 {Dec 21}
FY.C	Stoxx 600 Continuation
FYH20	Stoxx 600 {Mar 20}
FYM20	Stoxx 600 {Jun 20}
FYU20	Stoxx 600 {Sep 20}
GG.C	Euro Bund Continuation
GGH20	Euro Bund {Mar 20}
GGM20	Euro Bund {Jun 20}
GGU20	Euro Bund {Sep 20}
GT.C	Euro OAT Medium-Term Continuation
GTH20	Euro OAT Medium-Term {Mar 20}
GTM20	Euro OAT Medium-Term {Jun 20}
GTU20	Euro OAT Medium-Term {Sep 20}
GX.C	Euro Buxl Continuation
GXH20	Euro Buxl {Mar 20}
GXM20	Euro Buxl {Jun 20}
GXU20	Euro Buxl {Sep 20}
HF.C	Euro Schatz Continuation
HFH20	Euro Schatz {Mar 20}
HFM20	Euro Schatz {Jun 20}
HFU20	Euro Schatz {Sep 20}
HR.C	Euro Bobl Continuation
HRH20	Euro Bobl {Mar 20}
HRM20	Euro Bobl {Jun 20}
HRU20	Euro Bobl {Sep 20}
IA.C	Euro BTP Short-Term Continuation
IAH20	Euro BTP Short-Term {Mar 20}
IAM20	Euro BTP Short-Term {Jun 20}
IAU20	Euro BTP Short-Term {Sep 20}
IEH20	Euro Stoxx Utilities {Mar 20}
IEM20	Euro Stoxx Utilities {Jun 20}
IEU20	Euro Stoxx Utilities {Sep 20}
II.C	Euro BTP Long-Term Continuation
IIH20	Euro BTP Long-Term {Mar 20}
IIM20	Euro BTP Long-Term {Jun 20}
IIU20	Euro BTP Long-Term {Sep 20}
IZ.C	Euro Bono Long-Term Continuation
IZH20	Euro Bono Long-Term {Mar 20}
IZM20	Euro Bono Long-Term {Jun 20}
IZU20	Euro Bono Long-Term {Sep 20}
J3.C	Stoxx Euro600 Travel Continuation
J3H20	Stoxx Euro600 Travel {Mar 20}
J3M20	Stoxx Euro600 Travel {Jun 20}
J3U20	Stoxx Euro600 Travel {Sep 20}
J4.C	Stoxx Euro600 Utilit Continuation
J4H20	Stoxx Euro600 Utilit {Mar 20}
J4M20	Stoxx Euro600 Utilit {Jun 20}
J4U20	Stoxx Euro600 Utilit {Sep 20}
J5.C	Stoxx Euro600 Telcom Continuation
J5H20	Stoxx Euro600 Telcom {Mar 20}
J5M20	Stoxx Euro600 Telcom {Jun 20}
J5U20	Stoxx Euro600 Telcom {Sep 20}
JD.C	MSCI Europe Index Continuation
JDH20	MSCI Europe Index {Mar 20}
JDH21	MSCI Europe Index {Mar 21}
JDH22	MSCI Europe Index {Mar 22}
JDM20	MSCI Europe Index {Jun 20}
JDM21	MSCI Europe Index {Jun 21}
JDM22	MSCI Europe Index {Jun 22}
JDU20	MSCI Europe Index {Sep 20}
JDU21	MSCI Europe Index {Sep 21}
JDU22	MSCI Europe Index {Sep 22}
JDZ20	MSCI Europe Index {Dec 20}
JDZ21	MSCI Europe Index {Dec 21}
JDZ22	MSCI Europe Index {Dec 22}
JT.C	Euro BTP Medium-Term Continuation
